Phase,Group,Sub-Group,Checklist Item,Importance,Weight (Group Total = 100),Mandatory,Implemented? (Yes / No / NA),Comments
Development,JavaScript DOM & Performance Safety,DOM,All setTimeout/setInterval calls have corresponding clear calls; timer count per file within threshold (max 3); no timers <100ms,High,8,Yes,,
Development,JavaScript DOM & Performance Safety,DOM,setInterval for DOM/state checks flagged (suggest MutationObserver/IntersectionObserver/EventListener); polling intervals <1s flagged,High,8,Yes,,
Development,JavaScript DOM & Performance Safety,DOM,Prefer native browser APIs,High,8,Yes,,
Development,JavaScript DOM & Performance Safety,DOM,Dependencies with known native browser API equivalents flagged (e.g. lodash.get vs optional chaining); total dependency count and per-dependency bundle size contribution analyzed,High,8,Yes,,
Development,JavaScript DOM & Performance Safety,DOM,Avoid jQuery-style patterns,Medium,6,No,,
Development,JavaScript DOM & Performance Safety,DOM,Modern ES6+ syntax used,Medium,14,Yes,,
Development,JavaScript State & Reliability,Async,Avoid memory leaks,Critical,12,Yes,,
Development,JavaScript State & Reliability,Async,Event listeners cleaned up properly,High,8,Yes,,
Development,JavaScript State & Reliability,Async,Async logic uses async/await,High,8,Yes,,
Development,JavaScript State & Reliability,Async,Promises handled correctly,High,8,Yes,,
Development,JavaScript State & Reliability,Async,Avoid race conditions,High,8,Yes,,
Development,JavaScript State & Reliability,State,State changes occur through defined setters/reducers/actions; no direct state object property mutations outside state management layer,High,8,Yes,,
Development,JavaScript State & Reliability,State,No mutation of shared state,High,8,Yes,,
Development,JavaScript State & Reliability,State,No side effects in pure functions,High,8,Yes,,
Development,JavaScript State & Reliability,State,Consistent return types,Medium,6,No,,
Development,JavaScript State & Reliability,State,<noscript> fallbacks present; feature detection (typeof/in checks) before API calls; core content visible with JS disabled (tested via headless browser),Medium,14,Yes,,
Development,JavaScript Code Structure & Hygiene,Structure,No global variables,Critical,12,Yes,,
Development,JavaScript Code Structure & Hygiene,Structure,Avoid inline JavaScript,High,8,Yes,,
Development,JavaScript Code Structure & Hygiene,Structure,JS scoped to component or block,High,8,Yes,,
Development,JavaScript Code Structure & Hygiene,Structure,Consistent coding style,High,8,Yes,,
Development,JavaScript Code Structure & Hygiene,Structure,Functions under 40 lines; parameter count <=4; max nesting depth <=3,High,8,Yes,,
Development,JavaScript Code Structure & Hygiene,Structure,Avoid deeply nested callbacks,High,8,Yes,,
Development,JavaScript Code Structure & Hygiene,Structure,Call chain depth <=4 levels; wrapper functions that only delegate flagged; files with >80% re-exports flagged,Medium,6,No,,
Development,JavaScript Code Structure & Hygiene,Structure,Defensive input handling,Medium,6,Yes,,
Development,JavaScript Code Structure & Hygiene,Structure,No unreachable code,Medium,6,No,,
Development,JavaScript Code Structure & Hygiene,Structure,No empty catch blocks,Medium,14,Yes,,
Accessibility,Accessibility - WCAG Core,WCAG Core,WCAG 2.1 AA compliance met,Critical,12,Yes,,
Accessibility,Accessibility - WCAG Core,WCAG Core,All interactive elements (links/buttons/inputs/selects/[role=button]/[role=link]/[tabindex]) reachable via automated Tab-key traversal in headless browser; no tabindex >0; custom interactive widgets have keydown/keyup handlers for Enter/Space; no click-only handlers without corresponding keyboard event handlers,Critical,12,Yes,,
Accessibility,Accessibility - WCAG Core,WCAG Core,All focusable elements have :focus or :focus-visible styles with visible outline/box-shadow/border change; focus indicator has >=3:1 contrast ratio against adjacent background (computed via getComputedStyle); no outline:none or outline:0 without replacement focus style; focus ring provides >=2px visible boundary,Critical,12,Yes,,
Accessibility,Accessibility - WCAG Core,WCAG Core,Text color contrast meets 4.5:1 for normal text and 3:1 for large text (>=18px or >=14px bold) via computed style analysis; non-text UI components meet 3:1 ratio; contrast validated against actual rendered background including gradients and images via screenshot pixel-sampling at text coordinates,Critical,12,Yes,,
Accessibility,Accessibility - WCAG Core,WCAG Core,Elements with status colors (red/green/yellow/orange via computed background-color/color matching) verified to also contain text labels (>0 visible text nodes) or icons (svg/img/::before content) or aria-label; elements where only color/background-color differs between states flagged as color-only indicators via Puppeteer state-comparison,High,8,Yes,,
Accessibility,Accessibility - WCAG Core,WCAG Core,Axe accessibility audit passes with zero violations; aria-live regions present for dynamic content; all interactive elements have accessible names and roles,High,8,Yes,,
Accessibility,Accessibility - WCAG Core,WCAG Core,Tab sequence follows DOM source order with no positive tabindex values; CSS order/flex-direction/grid-placement does not contradict DOM sequence (visual position via getBoundingClientRect compared against DOM order); automated Tab-key traversal confirms focus moves top-to-bottom left-to-right matching visual layout flow,High,8,Yes,,
Accessibility,Accessibility - WCAG Core,WCAG Core,Skip links implemented,High,8,Yes,,
Accessibility,Accessibility - WCAG Core,WCAG Core,Reduced motion respected,High,8,Yes,,
Accessibility,Accessibility - WCAG Core,WCAG Core,Tested with Axe,Medium,6,Yes,,
Accessibility,Accessibility - WCAG Core,WCAG Core,Axe + ARIA validation passes with zero critical/serious violations; landmark regions complete (main/nav/banner/contentinfo present); heading hierarchy valid (no skipped levels); aria-live regions present for all dynamic content areas; all interactive elements have computed accessible names via accessibility-tree inspection; role attributes match interaction patterns,Medium,6,Yes,,
Accessibility,Accessibility - WCAG Core,WCAG Core,Announce dynamic content changes,Medium,14,Yes,,
Accessibility,Accessibility - Components & Content,Components,Accessible buttons and links,High,8,Yes,,
Accessibility,Accessibility - Components & Content,Components,Form validation errors use aria-invalid='true' on invalid fields; error messages linked via aria-describedby; error summary with anchor links present for forms with >3 fields; inline errors positioned within 200px of associated input (layout check via getBoundingClientRect); no alert() or browser-default-only validation as sole error mechanism,High,8,Yes,,
Accessibility,Accessibility - Components & Content,Components,Accessible error messaging,High,8,Yes,,
Accessibility,Accessibility - Components & Content,Components,ARIA labels provided where needed,High,8,Yes,,
Accessibility,Accessibility - Components & Content,Components,Modal/dialog elements have role='dialog' or role='alertdialog' with aria-modal='true' and aria-labelledby/aria-label; focus moves into dialog on open (Puppeteer verification); Tab cycles only through dialog elements (focus-trap test); Escape key closes dialog; focus returns to trigger element on close (automated open/close/focus tracking),High,8,Yes,,
Accessibility,Accessibility - Components & Content,Components,Tooltip triggers have aria-describedby pointing to tooltip element with role='tooltip'; tooltip visible on both :hover and :focus of trigger (Puppeteer verification); tooltip dismissible via Escape key; tooltip not clipped by overflow:hidden ancestors; tooltip not sole source of essential information (trigger has independent accessible name),High,8,Yes,,
Accessibility,Accessibility - Components & Content,Components,Accessible tables,High,8,Yes,,
Accessibility,Accessibility - Components & Content,Components,Accessible lists,High,8,Yes,,
Accessibility,Accessibility - Components & Content,Components,No horizontal scrollbar or content overflow at 200% zoom (headless browser viewport test at 640px for 1280px baseline); no text truncated by overflow:hidden on containers; text containers use relative units (em/rem/%); no fixed-width containers narrower than viewport at 200%; critical interactive elements remain visible and clickable at zoom,Medium,6,Yes,,
Accessibility,Accessibility - Components & Content,Components,Responsive and reflow-safe content,Medium,6,Yes,,
Accessibility,Accessibility - Components & Content,Components,<video> elements have <track kind='captions'> with valid non-empty src; caption file returns HTTP 200 and is valid WebVTT/SRT format; caption file contains >10 cue entries for videos >30s; caption timestamps span >=80% of video duration; no duplicate consecutive cue text,Medium,6,Yes,,
Accessibility,Accessibility - Components & Content,Components,<audio> elements have adjacent transcript link or aria-describedby pointing to transcript content; linked transcript returns HTTP 200 and contains >100 words of text; transcript container visible (not display:none/visibility:hidden); transcript text length proportional to audio duration (>50 words per minute of audio),Medium,6,Yes,,
Accessibility,Accessibility - Components & Content,Components,Avoid focus traps,Medium,14,Yes,,
Accessibility,Accessibility - Components & Content,Navigation,Navigation depth within acceptable limit,Medium,6,No,,
Accessibility,Accessibility - CSS,Interaction,All interactive functionality reachable via :focus/:focus-visible; no :hover-only event handlers; no CSS-only dropdowns/tooltips without keyboard equivalent,Critical,12,Yes,,
Accessibility,Accessibility - CSS,Focus,Visible focus styles present,Critical,12,Yes,,
Accessibility,Accessibility - CSS,Motion,Animations respect prefers-reduced-motion,Critical,12,Yes,,
Accessibility,Accessibility - CSS,Motion,Total animation/transition count per page within threshold; no animations >2s duration; no infinite animations on non-loading elements,High,8,Yes,,
Accessibility,Accessibility - CSS,Semantics,ARIA attributes used correctly,Critical,12,Yes,,
Accessibility,Accessibility - CSS,Visual,Sufficient contrast via tokens,High,8,Yes,,
Accessibility,Accessibility - CSS,Visual,No focus removed via CSS,High,8,Yes,,
Accessibility,Accessibility - CSS,Visual,All CSS :hover rules have corresponding :focus or :focus-visible rules on the same selectors; computed hover styles have matching focus state styles,Medium,5,Yes,,
Accessibility,Accessibility - CSS,Visual,Visually-hidden patterns (.sr-only/.visually-hidden) use approved clip/position technique; no display:none or visibility:hidden on screen-reader-targeted text,Medium,5,Yes,,
Accessibility,Accessibility - CSS,Visual,No horizontal overflow or element overlap detected at 200% browser zoom via headless browser viewport test; text containers use relative units (em/rem/%),Medium,10,Yes,,
,Accessibility - Code,,,,,,,
Security,Security - Headers & Transport,Headers,HTTPS enforced for all requests,Critical,14,Yes,,
Security,Security - Headers & Transport,Headers,Content-Security-Policy header present and configured,Critical,14,Yes,,
Security,Security - Headers & Transport,Headers,X-Content-Type-Options: nosniff set,Critical,14,Yes,,
Security,Security - Headers & Transport,Headers,X-Frame-Options or CSP frame-ancestors set,High,10,Yes,,
Security,Security - Headers & Transport,Headers,Referrer-Policy set appropriately,High,10,Yes,,
Security,Security - Headers & Transport,Headers,Strict-Transport-Security (HSTS) present in production,High,10,Yes,,
Security,Security - Headers & Transport,Headers,No mixed content (HTTP on HTTPS page),Critical,14,Yes,,
Security,Security - Headers & Transport,Headers,Permissions-Policy or Feature-Policy set,Medium,6,No,,
Security,Security - Client-Side Code,Scripts,No eval() or Function(string) usage,Critical,20,Yes,,
Security,Security - Client-Side Code,Scripts,No document.write or document.writeln,Critical,20,Yes,,
Security,Security - Client-Side Code,Scripts,No inline scripts without nonce/hash (CSP compliant),Critical,20,Yes,,
Security,Security - Client-Side Code,Scripts,External scripts use Subresource Integrity (SRI) where applicable,High,14,Yes,,
Security,Security - Client-Side Code,Scripts,No unsanitized user input in innerHTML or dangerous sinks,Critical,26,Yes,,
Security,Security - Client-Side Code,Scripts,Unsafe innerHTML usage within threshold (zero or flagged),Critical,20,Yes,,
Security,Security - Data & Secrets,Secrets,No hardcoded API keys or secrets in source,Critical,35,Yes,,
Security,Security - Data & Secrets,Secrets,No credentials or tokens in URLs or query parameters,High,35,Yes,,
Security,Security - Data & Secrets,Secrets,No sensitive data in client-side comments or console logs,Medium,30,No,,
Security,Security - Data & Secrets,Storage,No insecure storage usage (localStorage/sessionStorage for secrets),Critical,35,Yes,,
Security,Security - Data & Secrets,Storage,No PII stored in cookies or browser storage without encryption or consent,Critical,35,Yes,,
Security,Security - Dependencies,Dependencies,No known vulnerable dependencies (npm audit / Snyk),Critical,60,Yes,,
Security,Security - Dependencies,Dependencies,Outdated dependencies reviewed for security advisories,High,40,No,,
Security,Security - Forms & Input,Input,Sensitive form fields have appropriate autocomplete attributes,High,35,Yes,,
Security,Security - Forms & Input,Input,Form actions use HTTPS only,Critical,35,Yes,,
Security,Security - Forms & Input,Input,No sensitive data exposed in client-visible IDs or data attributes,Medium,30,No,,
Performance,Performance - Core Web Vitals,Web Vitals,Lighthouse Performance score target met,Critical,12,Yes,,
Performance,Performance - Core Web Vitals,Web Vitals,LCP within threshold,Critical,12,Yes,,
Performance,Performance - Core Web Vitals,Web Vitals,CLS within threshold,Critical,12,Yes,,
Performance,Performance - Core Web Vitals,Web Vitals,FID within threshold,Critical,12,Yes,,
Performance,Performance - Core Web Vitals,Web Vitals,TTFB within threshold,High,8,Yes,,
Performance,Performance - Core Web Vitals,Web Vitals,No render-blocking resources,High,8,Yes,,
Performance,Performance - Core Web Vitals,Web Vitals,Avoid layout shift during interaction,High,8,Yes,,
Performance,Performance - Core Web Vitals,Web Vitals,JavaScript execution minimized,High,8,Yes,,
Performance,Performance - Core Web Vitals,Web Vitals,Third-party scripts audited,Medium,6,Yes,,
Performance,Performance - Core Web Vitals,Web Vitals,Performance budget config file present (budget.json/.lighthouserc/bundlesize config); CI performance check script exists in project,Medium,6,Yes,,
Performance,Performance - Core Web Vitals,Web Vitals,RUM/analytics library detected in codebase (web-vitals/newrelic/datadog-rum import or script tag present),Medium,6,Yes,,
Performance,Performance - Core Web Vitals,Web Vitals,Performance budget file present with defined thresholds; Lighthouse budget audit passes against configured limits,Medium,14,Yes,,
Performance,Performance - Asset & Delivery,Assets,Images optimized and compressed,High,8,Yes,,
Performance,Performance - Asset & Delivery,Assets,Responsive images implemented,High,8,Yes,,
Performance,Performance - Asset & Delivery,Assets,Lazy loading for below-the-fold images,High,8,Yes,,
Performance,Performance - Asset & Delivery,Assets,CSS delivery optimized,High,8,Yes,,
Performance,Performance - Asset & Delivery,Assets,Unused CSS removed,High,8,Yes,,
Performance,Performance - Asset & Delivery,Assets,Unused JS removed,High,8,Yes,,
Performance,Performance - Asset & Delivery,Assets,Total JS bundle size within budget,Critical,10,Yes,,
Performance,Performance - Asset & Delivery,Assets,Unused JS and CSS percentage within threshold,High,8,Yes,,
Performance,Performance - Asset & Delivery,Assets,Third-party scripts audited,High,8,Yes,,
Performance,Performance - Asset & Delivery,Assets,Caching headers configured,Medium,6,Yes,,
Performance,Performance - Asset & Delivery,Assets,CDN caching leveraged,Medium,6,Yes,,
Performance,Performance - Asset & Delivery,Assets,Asset filenames include content hashes; Cache-Control and ETag headers present with appropriate max-age values,Medium,6,Yes,,
Performance,Performance - Asset & Delivery,Assets,No excessive JS bundles,Medium,6,Yes,,
Performance,Performance - Asset & Delivery,Assets,Bundle analysis tool configured (webpack-bundle-analyzer/source-map-explorer); build output size within defined budgets,Medium,20,Yes,,
Development,Code Quality - Hygiene & Safety,Static Safety,Zero lint errors (ESLint/Stylelint),Critical,12,Yes,,
Development,Code Quality - Hygiene & Safety,Static Safety,No unused variables,Critical,12,Yes,,
Development,Code Quality - Hygiene & Safety,Static Safety,No unused functions,Critical,12,Yes,,
Development,Code Quality - Hygiene & Safety,Static Safety,No unused imports,Critical,12,Yes,,
Development,Code Quality - Hygiene & Safety,Static Safety,No dead code paths,High,8,Yes,,
Development,Code Quality - Hygiene & Safety,Static Safety,No dead code files (unreferenced modules),High,8,Yes,,
Development,Code Quality - Hygiene & Safety,Static Safety,No commented-out production code,High,8,Yes,,
Development,Code Quality - Hygiene & Safety,Static Safety,No implicit globals,High,8,Yes,,
Development,Code Quality - Hygiene & Safety,Static Safety,Strict mode enabled where applicable,High,8,Yes,,
Development,Code Quality - Hygiene & Safety,Static Safety,Consistent indentation,Medium,6,Yes,,
Development,Code Quality - Hygiene & Safety,Static Safety,No mixed coding styles,Medium,6,Yes,,
Development,Code Quality - Hygiene & Safety,Static Safety,Consistent file structure,Medium,6,Yes,,
Development,Code Quality - Hygiene & Safety,Static Safety,Average file size under 500 LOC; functions under 40 lines; changes isolatable to individual files,Medium,6,Yes,,
Development,Code Quality - Hygiene & Safety,Static Safety,No duplicated constants,Medium,20,Yes,,
Development,Code Quality - Structure & Readability,Structure,Functions reasonably sized,High,8,Yes,,
Development,Code Quality - Structure & Readability,Structure,Cyclomatic complexity average within threshold,High,8,Yes,,
Development,Code Quality - Structure & Readability,Structure,Component size (LOC average) within threshold,High,8,Yes,,
Development,Code Quality - Structure & Readability,Structure,Variable names >2 characters (excluding loop iterators i/j/k/x/y); no single-letter variables outside loops; no anti-pattern names (temp/tmp/data/val/stuff/thing/foo/bar without qualifier); camelCase or snake_case consistent per file; no names >40 characters; abbreviated words >2 chars (excluding common: id/db/ui/io/fs/os),High,8,Yes,,
Development,Code Quality - Structure & Readability,Structure,Function names start with verb (get/set/is/has/should/create/update/delete/handle/render/fetch/parse/validate/transform/format/check/find/load/save/remove/add/init/build/compute/on); names >4 characters; no generic names (doStuff/handleIt/process/run without descriptive suffix); camelCase convention consistent within project,High,8,Yes,,
Development,Code Quality - Structure & Readability,Structure,Consistent naming conventions,High,8,Yes,,
Development,Code Quality - Structure & Readability,Structure,No nested ternary expressions beyond 1 level; no if/else chains >4 branches (suggest switch/object-map); boolean expressions <=3 conditions per statement; negated conditions not nested within negations; complex boolean expressions (>2 operators) without intermediate named variable flagged,High,8,Yes,,
Development,Code Quality - Structure & Readability,Structure,Component files (containing JSX/template render) have <30% non-rendering code (fetch/localStorage/complex computation); files importing both UI-framework and data/API modules flagged; component files >200 LOC with inline business logic (regex/math/data-transform blocks >10 lines) flagged for extraction,High,8,Yes,,
Development,Code Quality - Structure & Readability,Structure,Files export <=5 public functions/classes; file content focused on single domain (no mixed utility+component+API patterns detected),High,8,Yes,,
Development,Code Quality - Structure & Readability,Structure,Avoid deeply nested conditionals,Medium,6,Yes,,
Development,Code Quality - Structure & Readability,Structure,Functions with if-block wrapping >80% of function body flagged for guard-clause inversion; functions with error/null/undefined checks in if-else where else contains main logic flagged; nested if-else >3 levels deep where outermost condition is validation/type-check flagged for early return,Medium,6,Yes,,
Development,Code Quality - Structure & Readability,Structure,Average file size under 500 LOC; functions under 40 lines; module boundaries well-defined,Medium,6,Yes,,
Development,Code Quality - Structure & Readability,Structure,Files have single responsibility and clear module boundaries; refactoring-only changes detectable by file scope isolation,Medium,6,Yes,,
Development,Code Quality - Structure & Readability,Structure,README present; consistent file structure; average cyclomatic complexity below threshold; naming conventions consistent; JSDoc coverage above threshold,Medium,20,Yes,,
Development,Code Quality - Errors & Reliability,Reliability,Consistent error handling strategy,Critical,12,Yes,,
Development,Code Quality - Errors & Reliability,Reliability,Errors logged meaningfully,High,8,Yes,,
Development,Code Quality - Errors & Reliability,Reliability,Errors fail gracefully,High,8,Yes,,
Development,Code Quality - Errors & Reliability,Reliability,Predictable execution flow,High,8,Yes,,
Development,Code Quality - Errors & Reliability,Reliability,Explicit dependencies,High,8,Yes,,
Development,Code Quality - Errors & Reliability,Reliability,Avoid magic numbers,Medium,6,Yes,,
Development,Code Quality - Errors & Reliability,Reliability,Constants centralized,Medium,6,Yes,,
Development,Code Quality - Errors & Reliability,Reliability,Config-driven behavior,Medium,6,Yes,,
Development,Code Quality - Errors & Reliability,Reliability,No bitwise operators for basic arithmetic; no manual loop unrolling; no caching of trivially computed values; micro-optimization patterns flagged,Medium,6,Yes,,
Development,Code Quality - Errors & Reliability,Reliability,Abstraction layers <=3 deep; no single-use wrapper classes; factory/strategy patterns have >=2 implementations,Medium,6,Yes,,
Development,Code Quality - Errors & Reliability,Reliability,Shared utilities extracted,Medium,6,Yes,,
Development,Code Quality - Errors & Reliability,Reliability,No duplicated logic across files,Medium,18,Yes,,
